from,to
webshoppingagg,basket-api
webstatus,webmvc
mobileshoppingagg,catalog-api
webstatus,payment-api
ordering-api,sql-data
webshoppingapigw,basket-api
webstatus,webspa
webstatus,ordering-api
catalog-api,sql-data
basket-api,basket-data
webshoppingapigw,ordering-signalrhub
webshoppingapigw,webshoppingagg
webstatus,ordering-backgroundtasks
identity-api,keystore-data
ordering-signalrhub,rabbitmq
mobileshoppingagg,identity-api
webstatus,catalog-api
identity-api,sql-data
mobileshoppingapigw,webshoppingagg
webspa,identity-api
webshoppingagg,payment-api
webshoppingagg,ordering-api
webspa,keystore-data
mobileshoppingagg,basket-api
webhooks-api,rabbitmq
webmvc,identity-api
webshoppingapigw,ordering-api
payment-api,rabbitmq
webstatus,identity-api
webshoppingagg,catalog-api
basket-api,rabbitmq
webmvc,keystore-data
ordering-backgroundtasks,rabbitmq
ordering-api,rabbitmq
webshoppingapigw,catalog-api
webstatus,basket-api
webhooks-api,sql-data
mobileshoppingagg,payment-api
webstatus,mobileshoppingagg
webstatus,ordering-signalrhub
webmvc,webshoppingapigw
mobileshoppingapigw,catalog-api
catalog-api,rabbitmq
mobileshoppingagg,ordering-api
webstatus,webshoppingagg
webshoppingagg,identity-api
ordering-backgroundtasks,sql-data

