id,type
ts-news-service,service
ts-consign-service,service
ts-config-service,service
ts-price-service,service
ts-route-plan-service,service
ts-execute-service,service
ts-voucher-mysql,database
ts-price-mongo,database
ts-food-map-mongo,database
ts-config-mongo,database
ts-ticket-office-service,service
ts-user-service,service
ts-notification-service,service
ts-food-mongo,database
ts-auth-mongo,database
ts-food-service,service
ts-security-service,service
ts-order-mongo,database
ts-consign-price-mongo,database
ts-voucher-service,service
ts-ui-dashboard,service
ts-payment-mongo,database
ts-route-mongo,database
ts-basic-service,service
ts-inside-payment-mongo,database
ts-auth-service,service
ts-station-mongo,database
ts-travel2-service,service
ts-consign-mongo,database
ts-order-other-service,service
ts-assurance-mongo,database
ts-user-mongo,database
ts-preserve-other-service,service
ts-seat-service,service
ts-travel2-mongo,database
ts-consign-price-service,service
ts-admin-basic-info-service,service
ts-contacts-service,service
ts-admin-route-service,service
ts-food-map-service,service
ts-payment-service,service
ts-travel-plan-service,service
ts-admin-user-service,service
ts-verification-code-service,service
ts-admin-travel-service,service
ts-route-service,service
ts-preserve-service,service
ts-cancel-service,service
ts-assurance-service,service
ts-order-service,service
ts-ticketinfo-service,service
ts-security-mongo,database
ts-train-mongo,database
ts-contacts-mongo,database
ts-admin-order-service,service
ts-station-service,service
ts-inside-payment-service,service
ts-order-other-mongo,database
ts-travel-mongo,database
ts-travel-service,service
ts-train-service,service
ts-rebook-service,service
